
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
676,Sammy Solis,27,WSN,37,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
677,Layne Somsen,27,CIN,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
678,Denard Span*,32,SFG,143,637,572,70,152,23,5,11,53,12,7,53,79,.266,.331,.381,.712,91,218,8,4,6,2,2,*8
679,Cory Spangenberg*,25,SDP,14,53,48,6,11,1,1,1,8,1,0,4,13,.229,.302,.354,.656,77,17,0,1,0,0,0,4
680,Jacob Stallings,26,PIT,5,15,15,0,6,1,0,0,2,1,0,0,4,.400,.400,.467,.867,131,7,0,0,0,0,0,/2
681,Giancarlo Stanton,26,MIA,119,470,413,56,99,20,1,27,74,0,0,50,140,.240,.326,.489,.815,119,202,6,4,0,2,5,9/D
682,Robert Stephenson,23,CIN,8,13,10,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,1,0,3,0,0,/1
683,Brock Stewart*,24,LAD,7,10,10,0,1,0,0,0,0,0,0,0,7,.100,.100,.100,.200,-45,1,0,0,0,0,0,/1
684,Chris Stewart,34,PIT,34,113,98,10,21,4,0,1,7,0,0,12,15,.214,.319,.286,.604,64,28,2,3,0,0,2,2/3
685,Trevor Story,23,COL,97,415,372,67,101,21,4,27,72,8,5,35,130,.272,.341,.567,.909,122,211,5,5,2,1,2,6
686,Dan Straily,27,CIN,34,65,52,2,1,0,0,0,1,0,0,2,40,.019,.056,.019,.075,-79,1,0,0,11,0,0,1
687,Stephen Strasburg,27,WSN,24,57,48,3,10,1,0,0,2,0,0,2,11,.208,.240,.229,.469,26,11,2,0,7,0,0,1
688,Chris Stratton,25,SFG,7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,/1
689,Hunter Strickland,27,SFG,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
690,Ross Stripling,26,LAD,22,27,24,2,2,0,0,0,1,0,0,2,12,.083,.154,.083,.237,-32,2,0,0,1,0,0,1
691,Pedro Strop,31,CHC,55,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1/7
692,Drew Stubbs,31,ATL,20,42,38,6,9,0,0,1,3,4,0,4,20,.237,.310,.316,.625,69,12,1,0,0,0,0,8/7
693,Daniel Stumpf*,25,PHI,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
694,Albert Suarez,26,SFG,22,24,21,1,4,2,0,0,2,0,0,0,11,.190,.190,.286,.476,25,6,0,0,3,0,0,1
695,Eugenio Suarez,24,CIN,159,627,565,78,140,25,2,21,70,11,5,51,155,.248,.317,.411,.728,92,232,10,8,0,3,0,*5/6D
696,Andrew Susac,26,MIL,9,19,17,3,4,1,0,1,2,0,0,2,5,.235,.316,.471,.786,105,8,0,0,0,0,0,/2
697,Brent Suter*,26,MIL,14,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
698,Ichiro Suzuki*,42,MIA,143,365,327,48,95,15,5,1,22,10,2,30,42,.291,.354,.376,.730,101,123,4,3,3,2,1,987/D
699,Dansby Swanson,22,ATL,38,145,129,20,39,7,1,3,17,3,0,13,34,.302,.361,.442,.803,115,57,2,0,1,2,5,6
700,Noah Syndergaard*,23,NYM,31,67,58,6,11,3,0,3,6,0,0,7,34,.190,.277,.397,.673,78,23,1,0,2,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
701,Matt Szczur,26,CHC,107,200,185,30,48,9,1,5,24,2,4,13,39,.259,.312,.400,.712,90,74,2,1,1,0,2,789
702,Jameson Taillon,24,PIT,18,36,32,0,3,0,0,0,2,0,0,0,17,.094,.094,.094,.188,-50,3,2,0,4,0,0,1
703,Raimel Tapia*,22,COL,22,41,38,4,10,0,0,0,3,3,0,2,11,.263,.293,.263,.556,41,10,0,0,0,1,0,/879
704,Chris Taylor,25,LAD,34,62,58,8,12,2,2,1,7,0,0,4,13,.207,.258,.362,.620,68,21,3,0,0,0,1,5/46
705,Michael Taylor,25,WSN,76,237,221,28,51,11,0,7,16,14,3,14,77,.231,.278,.376,.654,72,83,2,1,0,1,0,8/97
706,Julio Teheran,25,ATL,31,61,49,1,10,1,0,0,2,0,0,1,16,.204,.220,.224,.444,20,11,1,0,11,0,0,1
707,Ruben Tejada,26,TOT,36,78,66,9,11,5,0,0,5,0,0,7,13,.167,.247,.242,.489,32,16,1,1,1,3,0,5/641
708,Ruben Tejada,26,STL,23,40,34,6,6,2,0,0,3,0,0,2,8,.176,.225,.235,.460,24,8,1,1,0,3,0,5/641
709,Ruben Tejada,26,SFG,13,38,32,3,5,3,0,0,2,0,0,5,5,.156,.270,.250,.520,41,8,0,0,1,0,0,5/4
710,Tomas Telis#,25,MIA,10,13,13,1,4,0,0,1,4,0,0,0,2,.308,.308,.538,.846,126,7,0,0,0,0,0,/2
711,Nick Tepesch,27,LAD,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
712,Jake Thompson,22,PHI,10,17,14,0,2,1,0,0,0,0,0,0,5,.143,.143,.214,.357,-5,3,1,0,3,0,0,1
713,Trayce Thompson,25,LAD,80,262,236,31,53,11,0,13,32,5,1,26,66,.225,.302,.436,.738,99,103,3,0,0,0,0,897
714,Tyler Thornburg,27,MIL,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
715,Matt Thornton*,39,SDP,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
716,Andrew Toles*,24,LAD,48,115,105,19,33,9,1,3,16,1,1,8,25,.314,.365,.505,.870,135,53,1,1,0,1,2,7/89
717,Yasmany Tomas,25,ARI,140,563,530,72,144,30,1,31,83,2,4,31,136,.272,.313,.508,.820,110,269,18,1,0,1,4,*97/3
718,Kelby Tomlinson,26,SFG,52,120,106,13,31,4,0,0,6,5,1,12,18,.292,.370,.330,.700,90,35,1,1,1,0,1,4/657
719,Carlos Torres,33,MIL,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
720,Jose Torres*,22,SDP,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
721,Blake Treinen,28,WSN,73,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
722,Chin-hui Tsao,35,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
723,Matt Tuiasosopo,30,ATL,3,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,
724,Sam Tuivailala,23,STL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
725,Justin Turner,31,LAD,151,622,556,79,153,34,3,27,90,4,1,48,107,.275,.339,.493,.832,124,274,16,10,0,8,1,*5/D3
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
726,Trea Turner,23,WSN,73,324,307,53,105,14,8,13,40,33,6,14,59,.342,.370,.567,.937,144,174,1,1,0,2,0,84/6
727,Melvin Upton,31,SDP,92,374,344,46,88,11,2,16,45,20,5,23,106,.256,.304,.439,.743,98,151,5,2,1,3,1,78/9
728,Jose Urena,24,MIA,29,22,17,1,3,0,0,0,0,0,0,1,11,.176,.222,.176,.399,12,3,0,0,4,0,0,1
729,Julio Urias*,19,LAD,18,26,22,0,3,0,0,0,2,0,0,0,9,.136,.136,.136,.273,-25,3,1,0,4,0,0,1
730,Chase Utley*,37,LAD,138,565,512,79,129,26,3,14,52,2,2,40,115,.252,.319,.396,.716,95,203,0,11,1,1,1,*4/5
731,Pat Valaika,23,COL,13,19,19,3,5,1,0,1,2,0,0,0,8,.263,.263,.474,.737,79,9,0,0,0,0,0,/546
732,Scott Van Slyke,29,LAD,52,113,102,10,23,6,0,1,7,1,2,5,24,.225,.292,.314,.606,66,32,3,5,0,1,1,79/38
733,Cesar Vargas,24,SDP,7,9,8,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
734,Vince Velasquez,24,PHI,24,44,40,4,8,1,0,0,0,0,0,1,16,.200,.220,.225,.445,21,9,1,0,3,0,0,1
735,Will Venable*,33,LAD,12,19,18,2,1,1,0,0,0,0,0,0,5,.056,.105,.111,.216,-40,2,0,1,0,0,0,/97
736,Logan Verrett,26,NYM,35,22,19,1,1,1,0,0,0,0,0,0,12,.053,.053,.105,.158,-59,2,0,0,3,0,0,1
737,Carlos Villanueva,32,SDP,51,5,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
738,Jonathan Villar#,25,MIL,156,679,589,92,168,38,3,19,63,62,18,79,174,.285,.369,.457,.826,118,269,7,2,5,4,4,654
739,Arodys Vizcaino,25,ATL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
